,Year:,Month:,County:,Vegetation Condition Index(VIC):,Pasture condition:,Browse condition:,Cattle body condition:,Goats body condition:,Current milk production:,Current cattle prices:,Current goats prices:,Livestock mortality:,Maize prices:,Distance from households to main water sources:,Distance from livestock grazing area to main water sources:,Terms of trade:,Children at risk of malnutrition:,Drought phase classification:,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index
15,2021.0,October,Makueni,Vegetation greenness Above normal,1.0,1.0,2.0,2.0,Above LTA,Below LTA,At LTA,No death of livestock reported,Below LTA,Below LTA,Above LTA,Above LTA,Above LTA,Alert,245543764,e4d95669-0a9b-4577-8b27-6c1e64ed35a0,2021-12-26 13:23:46,,,submitted_via_web,,,16
16,2021.0,October,Meru,Normal vegetation greenness,1.0,1.0,2.0,2.0,Below LTA,Above LTA,At LTA,No death of livestock reported,Below LTA,Above LTA,Above LTA,Below LTA,At LTA,Alert,245544536,c5a4e608-6ad4-4339-bf4b-b5e1856fa8c8,2021-12-26 13:27:43,,,submitted_via_web,,,17
17,2021.0,October,Nyeri,Vegetation greenness Above normal,1.0,1.0,1.0,2.0,Below LTA,Below LTA,Below LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alert,245545040,3f467594-3a9e-456e-a1ef-a6b392d37664,2021-12-26 13:31:09,,,submitted_via_web,,,18
18,2021.0,October,Kilifi,Extreme,1.0,1.0,2.0,2.0,Below LTA,Below LTA,Above LTA,Death of livestock reported,Below LTA,Above LTA,Above LTA,Above LTA,At LTA,Alarm,245545581,5bcb008c-e9ee-4faa-99c7-789da8415e1e,2021-12-26 13:34:13,,,submitted_via_web,,,19
19,2021.0,October,Kwale,Moderate vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,,Above LTA,Death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alert,245546947,bdb144a7-f671-4f4f-baba-84c444d0352c,2021-12-26 13:38:45,,,submitted_via_web,,,20
20,2021.0,October,Lamu,Moderate vegetation deficit,1.0,1.0,1.0,2.0,Below LTA,Above LTA,Below LTA,Death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,245547999,7db94fdb-9dc0-4642-afa1-40542b44cc72,2021-12-26 13:43:19,,,submitted_via_web,,,21
21,2021.0,October,Taita taveta,Vegetation greenness Above normal,1.0,1.0,2.0,2.0,Below LTA,At LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Above LTA,Normal,245549146,78c76536-974a-4f91-b16e-ec15194df354,2021-12-26 13:48:08,,,submitted_via_web,,,22
22,2021.0,October,Narok,Vegetation greenness Above normal,2.0,2.0,2.0,3.0,At LTA,At LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alert,245550101,f7e7bea1-2a80-43e6-83bf-916eed7cf90b,2021-12-26 13:51:16,,,submitted_via_web,,,23
23,2021.0,November,Baringo,Vegetation greenness Above normal,1.0,1.0,2.0,2.0,Below LTA,At LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Above LTA,Normal,245579451,91a6b0d8-a81c-4e9d-939f-b1390ee63757,2021-12-26 15:51:02,,,submitted_via_web,,,24
24,2021.0,November,Mandera,Moderate vegetation deficit,1.0,1.0,1.0,2.0,Below LTA,Below LTA,Below LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,245580647,0901d64f-dcd9-4dc5-83e7-090e01f81084,2021-12-26 15:54:26,,,submitted_via_web,,,25
25,2021.0,November,Turkana,Vegetation greenness Above normal,1.0,2.0,1.0,1.0,Below LTA,Below LTA,Below LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,245581404,f9809777-a0ad-4d0e-a7ea-10471b4358ab,2021-12-26 15:57:51,,,submitted_via_web,,,26
26,2021.0,November,Marsabit,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,Below LTA,Below LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,245583653,6a799cd8-5f0c-4240-b71d-c528202bd8a9,2021-12-26 16:09:55,,,submitted_via_web,,,27
27,2021.0,November,Wajir,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,At LTA,Below LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alarm,245584128,8645e75e-2064-4a4d-a57b-911a5430019c,2021-12-26 16:13:02,,,submitted_via_web,,,28
28,2021.0,November,Samburu,Normal vegetation greenness,1.0,2.0,2.0,2.0,At LTA,Below LTA,Below LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alert,245584590,bb9c24d5-4482-44e3-bb8c-67f28b231f7d,2021-12-26 16:16:13,,,submitted_via_web,,,29
29,2021.0,November,Garissa,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,Below LTA,Below LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,At LTA,Above LTA,Alarm,245585069,8da4af62-cecb-4b0b-b321-53703c78ce3d,2021-12-26 16:19:27,,,submitted_via_web,,,30
30,2021.0,November,Isiolo,Severe vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,At LTA,Below LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alarm,245585368,0f675275-1958-4761-8120-349b9c4c1d1a,2021-12-26 16:21:40,,,submitted_via_web,,,31
31,2021.0,November,Tana river,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,Below LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,245585794,12aef4cb-3755-429b-a458-4e5bb917a636,2021-12-26 16:24:16,,,submitted_via_web,,,32
32,2021.0,November,Kajiado,Normal vegetation greenness,1.0,1.0,1.0,1.0,At LTA,Below LTA,At LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alert,245586386,17c05e77-1c36-43d1-bbb0-8dba489f528e,2021-12-26 16:27:02,,,submitted_via_web,,,33
33,2021.0,November,Laikipia,Normal vegetation greenness,1.0,2.0,2.0,2.0,At LTA,Below LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,At LTA,Alert,245586727,05c3418b-3957-46b2-a368-e3763a98493a,2021-12-26 16:29:46,,,submitted_via_web,,,34
34,2021.0,November,Tharaka nithi,Normal vegetation greenness,1.0,2.0,2.0,2.0,Below LTA,Above LTA,Below LTA,No death of livestock reported,Above LTA,Below LTA,Above LTA,Below LTA,At LTA,Alarm,245587545,23207557-60b2-419b-be3a-59e6c49d8a70,2021-12-26 16:34:03,,,submitted_via_web,,,35
35,2021.0,November,West pokot,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,At LTA,Below LTA,Normal,245587928,c7965bd9-b810-44ec-9a03-1086218bc483,2021-12-26 16:36:20,,,submitted_via_web,,,36
36,2021.0,November,Embu,Normal vegetation greenness,1.0,1.0,2.0,2.0,Below LTA,Below LTA,At LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,At LTA,Alert,245588325,859f68f2-6466-47e4-b2d8-8182609af6a4,2021-12-26 16:39:00,,,submitted_via_web,,,37
37,2021.0,November,Kitui,Moderate vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,At LTA,At LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alarm,245589017,ac27e231-1a44-4ba8-a26d-4251b331b2f4,2021-12-26 16:42:21,,,submitted_via_web,,,38
38,2021.0,November,Makueni,Normal vegetation greenness,1.0,1.0,2.0,2.0,Above LTA,At LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,Below LTA,Alert,245589459,319834a9-8c80-4602-b039-f278922c6795,2021-12-26 16:44:52,,,submitted_via_web,,,39
39,2021.0,November,Meru,Normal vegetation greenness,1.0,1.0,2.0,2.0,Below LTA,Below LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,At LTA,Alert,245589945,807dbf86-0b8c-4ac6-a5dd-0d407af29079,2021-12-26 16:47:32,,,submitted_via_web,,,40
40,2021.0,November,Nyeri,Vegetation greenness Above normal,1.0,1.0,1.0,1.0,Below LTA,Below LTA,Below LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alert,245590352,bd1d7475-a38b-4682-990f-f6d0915e0b7c,2021-12-26 16:49:56,,,submitted_via_web,,,41
41,2021.0,November,Kilifi,Extreme,1.0,1.0,2.0,2.0,Below LTA,Below LTA,At LTA,No death of livestock reported,Below LTA,Above LTA,Above LTA,At LTA,At LTA,Alarm,245590761,5f27e6b9-51e8-4209-bf84-52c68bb46deb,2021-12-26 16:52:35,,,submitted_via_web,,,42
42,2021.0,November,Kwale,Extreme,1.0,1.0,2.0,2.0,At LTA,Below LTA,Below LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,At LTA,Alarm,245591310,6a27e562-aa70-48db-9051-605a54b21ba7,2021-12-26 16:56:11,,,submitted_via_web,,,43
43,2021.0,November,Lamu,Moderate vegetation deficit,1.0,1.0,1.0,2.0,Below LTA,Above LTA,Below LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,At LTA,Alarm,245591746,93748f37-6451-4831-99d4-1d204fe81ab3,2021-12-26 16:58:54,,,submitted_via_web,,,44
44,2021.0,November,Taita taveta,Moderate vegetation deficit,1.0,1.0,3.0,3.0,Below LTA,At LTA,At LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,At LTA,Alert,245592280,8d1dfc4e-e1c0-4b54-9d52-076df72dadac,2021-12-26 17:01:12,,,submitted_via_web,,,45
45,2021.0,November,Narok,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Above LTA,At LTA,Above LTA,Death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,Above LTA,Alert,245592903,bf0bf59b-bb77-430c-b829-835b39025a2d,2021-12-26 17:04:46,,,submitted_via_web,,,46
46,2021.0,September,Baringo,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Below LTA,Above LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,Above LTA,Normal,246027413,4400781c-cab5-432b-949a-c7af5dc9e8ab,2021-12-28 06:25:10,,,submitted_via_web,,,47
47,2021.0,September,Mandera,Normal vegetation greenness,1.0,1.0,1.0,1.0,Below LTA,Below LTA,At LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,246028530,6f4ccbe0-fc0a-46e1-aeba-1488d6faf747,2021-12-28 06:28:29,,,submitted_via_web,,,48
48,2021.0,September,Turkana,Normal vegetation greenness,1.0,2.0,2.0,1.0,Below LTA,Below LTA,Below LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,246029953,4bbd3ae0-b41d-4922-b53d-a7db5764a6b8,2021-12-28 06:33:30,,,submitted_via_web,,,49
49,2021.0,September,Marsabit,Normal vegetation greenness,1.0,1.0,1.0,1.0,Below LTA,Below LTA,Below LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,246030901,607666ff-72d8-4e4c-87c8-acca872c050c,2021-12-28 06:37:09,,,submitted_via_web,,,50
50,2021.0,September,Wajir,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,At LTA,At LTA,At LTA,Alarm,246031621,1bff6532-6791-4450-bb0b-61984932e0d5,2021-12-28 06:40:27,,,submitted_via_web,,,51
51,2021.0,September,Samburu,Moderate vegetation deficit,1.0,1.0,1.0,2.0,Above LTA,Below LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,Above LTA,Alert,246032960,736a129f-6190-45ca-856f-0a23c42299e5,2021-12-28 06:45:22,,,submitted_via_web,,,52
52,2021.0,September,Garissa,Moderate vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,Below LTA,Below LTA,No death of livestock reported,Above LTA,Above LTA,At LTA,At LTA,Above LTA,Alarm,246033727,39530fcb-d185-42f8-8285-c084f9816a27,2021-12-28 06:47:53,,,submitted_via_web,,,53
53,2021.0,September,Isiolo,Moderate vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,Above LTA,At LTA,No death of livestock reported,Above LTA,Below LTA,Above LTA,Below LTA,Above LTA,Alarm,246035012,341adbf8-755a-4caf-af0f-d5890a2e43cb,2021-12-28 06:50:10,,,submitted_via_web,,,54
54,2021.0,September,Tana river,Normal vegetation greenness,1.0,2.0,1.0,1.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Above LTA,At LTA,At LTA,Above LTA,Alarm,246035949,731666f4-8654-4e7b-99af-644ea49d3ad5,2021-12-28 06:53:07,,,submitted_via_web,,,55
55,2021.0,September,Kajiado,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,At LTA,Below LTA,Below LTA,Alert,246036805,d09ef902-b9ac-4dd5-8ef7-7cdb5fe41313,2021-12-28 06:56:04,,,submitted_via_web,,,56
56,2021.0,September,Laikipia,Normal vegetation greenness,1.0,2.0,2.0,2.0,Above LTA,Below LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,At LTA,At LTA,Alert,246052637,a36232c8-9ef0-41c1-9c11-642289d7a018,2021-12-28 07:49:00,,,submitted_via_web,,,57
57,2020.0,September,Baringo,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,At LTA,Normal,246052776,5a617d07-77a7-4dee-a707-1519b8f273f5,2021-12-28 07:49:32,,,submitted_via_web,,,58
58,2021.0,September,Tharaka nithi,Normal vegetation greenness,1.0,2.0,2.0,2.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,At LTA,Above LTA,Below LTA,Below LTA,Alert,246053490,69f19731-8185-4b36-b8ac-39dc6b3d4da5,2021-12-28 07:52:15,,,submitted_via_web,,,59
59,2021.0,September,West pokot,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,At LTA,No death of livestock reported,At LTA,At LTA,At LTA,Above LTA,Below LTA,Normal,246054373,b8308108-c40c-47ff-8c3c-b021692e4ad6,2021-12-28 07:54:56,,,submitted_via_web,,,60
60,2021.0,September,Embu,Normal vegetation greenness,1.0,1.0,2.0,2.0,At LTA,Below LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Above LTA,At LTA,Alert,246054881,894fdb9f-781d-4919-87dc-295c860c58e4,2021-12-28 07:57:23,,,submitted_via_web,,,61
61,2021.0,September,Kitui,Normal vegetation greenness,1.0,1.0,2.0,2.0,At LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,At LTA,At LTA,Below LTA,Alert,246055773,206bd8de-ee83-41cb-a24f-43acb68678e9,2021-12-28 08:00:40,,,submitted_via_web,,,62
62,2021.0,September,Makueni,Vegetation greenness Above normal,1.0,1.0,2.0,2.0,Above LTA,Above LTA,At LTA,No death of livestock reported,At LTA,At LTA,Above LTA,Below LTA,Above LTA,Alert,246056511,99515945-b846-421e-8960-81a6f45c9fd6,2021-12-28 08:03:12,,,submitted_via_web,,,63
63,2021.0,September,Meru,Normal vegetation greenness,1.0,1.0,2.0,2.0,Below LTA,Above LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,At LTA,Alert,246057374,12c872ce-7d43-4f88-a79f-ff2fa9ee9a5a,2021-12-28 08:06:07,,,submitted_via_web,,,64
64,2021.0,September,Nyeri,Vegetation greenness Above normal,1.0,1.0,1.0,1.0,Below LTA,Below LTA,Below LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alert,246058451,49ef7302-6f6a-4281-a3ae-d1549dd8c6bc,2021-12-28 08:08:39,,,submitted_via_web,,,65
65,2020.0,September,Mandera,Vegetation greenness Above normal,1.0,1.0,3.0,3.0,At LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Below LTA,Below LTA,Above LTA,,Alert,246058680,638c2310-0c1e-4308-bd28-b9416b0f97e5,2021-12-28 08:09:19,,,submitted_via_web,,,66
66,2021.0,September,Kilifi,Moderate vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,Above LTA,Above LTA,Death of livestock reported,Below LTA,Above LTA,At LTA,Below LTA,At LTA,Alert,246059489,c432a389-5283-44a8-87c9-8dd3d595c184,2021-12-28 08:12:03,,,submitted_via_web,,,67
67,2021.0,September,Kwale,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,At LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,At LTA,Alert,246061369,e9ca11ed-b5c6-4fa8-bcd7-649f8c1059c2,2021-12-28 08:17:02,,,submitted_via_web,,,68
68,2020.0,September,Turkana,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Below LTA,Below LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Above LTA,At LTA,Normal,246061631,4e8a05ff-40c7-45db-80fb-26052e2fdf6a,2021-12-28 08:18:00,,,submitted_via_web,,,69
69,2021.0,September,Lamu,Moderate vegetation deficit,1.0,1.0,2.0,2.0,Below LTA,At LTA,Below LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,At LTA,Alarm,246063717,b645fd0e-84bd-4f32-b48e-0e5fbf18011c,2021-12-28 08:23:02,,,submitted_via_web,,,70
70,2020.0,September,Marsabit,Vegetation greenness Above normal,3.0,2.0,3.0,2.0,Below LTA,Above LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Above LTA,,Alert,246064009,42ea9d56-094b-4af0-968a-8cd5e776bdf5,2021-12-28 08:24:04,,,submitted_via_web,,,71
72,2021.0,September,Taita taveta,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,At LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,At LTA,Normal,246064486,bea8ffe6-aea8-43af-a433-84f8670e1a1e,2021-12-28 08:25:11,,,submitted_via_web,,,73
73,2021.0,September,Narok,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,At LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,Above LTA,Alert,246065307,ab5c67d3-5d21-4529-96eb-52ff723fa3d9,2021-12-28 08:27:24,,,submitted_via_web,,,74
74,2020.0,September,Wajir,Vegetation greenness Above normal,2.0,2.0,3.0,3.0,Below LTA,Above LTA,At LTA,No death of livestock reported,At LTA,Below LTA,Below LTA,Above LTA,At LTA,Alert,246066635,85857206-4615-4c2c-bbed-2b943d526020,2021-12-28 08:31:19,,,submitted_via_web,,,75
75,2021.0,August,Baringo,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Below LTA,Above LTA,At LTA,,At LTA,Above LTA,Above LTA,At LTA,Above LTA,Normal,246068234,ae60373a-40d4-422a-88d9-dc4914022a64,2021-12-28 08:34:29,,,submitted_via_web,,,76
76,2020.0,September,Samburu,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Below LTA,Above LTA,Above LTA,,At LTA,Below LTA,Below LTA,Above LTA,,Normal,246068952,925ddc32-50a3-4e51-b190-75f1595d4901,2021-12-28 08:36:27,,,submitted_via_web,,,77
77,2021.0,August,Mandera,Normal vegetation greenness,1.0,1.0,1.0,2.0,Below LTA,Below LTA,At LTA,,Above LTA,Above LTA,Above LTA,At LTA,Above LTA,Alarm,246069146,11ee6b7f-a0de-4b4d-b969-8fb8413ad5e5,2021-12-28 08:37:09,,,submitted_via_web,,,78
78,2021.0,August,Turkana,Vegetation greenness Above normal,1.0,2.0,1.0,2.0,Below LTA,Below LTA,Below LTA,,At LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alert,246070679,1cf69192-9fa9-4ed3-974a-c15072ea399e,2021-12-28 08:42:35,,,submitted_via_web,,,79
79,2020.0,September,Garissa,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Below LTA,Above LTA,Above LTA,,Above LTA,Above LTA,Below LTA,Above LTA,,Alert,246070800,9ca73f4f-cbca-46ce-aa98-002452eb5674,2021-12-28 08:42:57,,,submitted_via_web,,,80
80,2021.0,August,Marsabit,Normal vegetation greenness,2.0,2.0,2.0,2.0,Below LTA,Below LTA,Below LTA,,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,246071453,c80135ff-4272-4536-a8ec-d3b8fa1921ea,2021-12-28 08:45:20,,,submitted_via_web,,,81
81,2020.0,September,Isiolo,Vegetation greenness Above normal,3.0,2.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,Below LTA,Below LTA,Below LTA,Above LTA,,Normal,246071927,cf2b0449-3e94-4c1c-b5fa-b1a6793e1477,2021-12-28 08:46:38,,,submitted_via_web,,,82
82,2021.0,August,Wajir,Severe vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,Above LTA,Below LTA,,Below LTA,Above LTA,At LTA,At LTA,At LTA,Alarm,246072483,18b630ad-bba0-4df4-bbd6-6858fa2cc68a,2021-12-28 08:48:19,,,submitted_via_web,,,83
83,2021.0,August,Samburu,Moderate vegetation deficit,1.0,2.0,1.0,2.0,Above LTA,At LTA,At LTA,,At LTA,Above LTA,Above LTA,At LTA,Above LTA,Alert,246073366,6e4685a2-acf9-4ff3-899d-232b0d6fec63,2021-12-28 08:50:42,,,submitted_via_web,,,84
84,2020.0,September,Tana river,Vegetation greenness Above normal,1.0,2.0,2.0,2.0,Below LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,Below LTA,Below LTA,Above LTA,,Normal,246074092,05abf9a7-a490-4629-8353-cde7508e2570,2021-12-28 08:52:51,,,submitted_via_web,,,85
85,2021.0,August,Garissa,Severe vegetation deficit,1.0,1.0,1.0,2.0,Below LTA,At LTA,Below LTA,,Above LTA,Above LTA,Above LTA,Below LTA,Above LTA,Alarm,246074878,fb901c70-b064-4347-a539-8af5d4d5b90f,2021-12-28 08:56:04,,,submitted_via_web,,,86
86,2021.0,August,Isiolo,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,Above LTA,At LTA,,Above LTA,Below LTA,Above LTA,At LTA,At LTA,Alarm,246075265,764bdb65-291e-43da-80fb-233bb971e72f,2021-12-28 08:57:21,,,submitted_via_web,,,87
87,2021.0,August,Tana river,Moderate vegetation deficit,2.0,1.0,2.0,3.0,Below LTA,Above LTA,Above LTA,,Below LTA,Below LTA,Below LTA,Above LTA,Above LTA,Alert,246076130,a7a06d9a-5acb-4251-af97-7c252bba3061,2021-12-28 09:00:02,,,submitted_via_web,,,88
